StockCode,Description,Total_Units,Calculated_Velocity
75049L,LARGE CIRCULAR MIRROR MOBILE,6809,1.5946135831381734
22077,6 RIBBONS RUSTIC CHARM,6693,1.567447306791569
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,6590,1.5433255269320842
23298,SPOTTY BUNTING,6579,1.5407494145199063
23309,SET OF 60 I LOVE LONDON CAKE CASES ,6503,1.522950819672131
20972,PINK CREAM FELT CRAFT TRINKET BOX ,6414,1.5021077283372366
15034,PAPER POCKET TRAVELING FAN ,6227,1.4583138173302108
21982,PACK OF 12 SUKI TISSUES ,6209,1.4540983606557376
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6195,1.4508196721311475
23300,GARDENERS KNEELING PAD CUP OF TEA ,6165,1.4437939110070257
23207,LUNCH BAG ALPHABET DESIGN,6157,1.44192037470726
22960,JAM MAKING SET WITH JARS,6129,1.4353629976580797
21731,RED TOADSTOOL LED NIGHT LIGHT,6128,1.4351288056206088
22727,ALARM CLOCK BAKELIKE RED ,6055,1.4180327868852458
22065,CHRISTMAS PUDDING TRINKET POT ,6042,1.4149882903981266
20974,12 PENCILS SMALL TUBE SKULL,6020,1.4098360655737705
82494L,WOODEN FRAME ANTIQUE WHITE ,6006,1.4065573770491804
21499,BLUE POLKADOT WRAP,5975,1.399297423887588
23230,WRAP ALPHABET DESIGN,5975,1.399297423887588
22558,CLOTHES PEGS RETROSPOT PACK 24 ,5959,1.3955503512880563
23076,ICE CREAM SUNDAE LIP GLOSS,5952,1.3939110070257612
82583,HOT BATHS METAL SIGN,5939,1.3908665105386417
22666,RECIPE BOX PANTRY YELLOW DESIGN,5919,1.3861826697892272
84692,BOX OF 24 COCKTAIL PARASOLS,5902,1.382201405152225
20726,LUNCH BAG WOODLAND,5888,1.3789227166276348
23200,JUMBO BAG PEARS,5888,1.3789227166276348
16161P,WRAP ENGLISH ROSE ,5851,1.3702576112412177
21791,VINTAGE HEADS AND TAILS CARD GAME ,5834,1.3662763466042154
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5808,1.3601873536299767
22866,HAND WARMER SCOTTY DOG DESIGN,5807,1.3599531615925058
82484,WOOD BLACK BOARD ANT WHITE FINISH,5790,1.3559718969555035
22379,RECYCLING BAG RETROSPOT ,5725,1.3407494145199064
22147,FELTCRAFT BUTTERFLY HEARTS,5709,1.3370023419203747
23078,ICE CREAM PEN LIP GLOSS ,5603,1.3121779859484777
23208,LUNCH BAG VINTAGE LEAF DESIGN,5575,1.3056206088992974
22149,FELTCRAFT 6 FLOWER FRIENDS,5572,1.3049180327868852
22090,PAPER BUNTING RETROSPOT,5562,1.302576112412178
22867,HAND WARMER BIRD DESIGN,5559,1.3018735362997658
22629,SPACEBOY LUNCH BOX ,5545,1.2985948477751756
21829,DINOSAUR KEYRINGS ASSORTED,5526,1.2941451990632318
21495,SKULLS AND CROSSBONES WRAP,5525,1.2939110070257611
82600,NO SINGING METAL SIGN,5504,1.288992974238876
22440,BALLOON WATER BOMB PACK OF 35,5493,1.2864168618266978
40016,CHINESE DRAGON PAPER LANTERNS,5476,1.2824355971896955
23231,WRAP DOILEY DESIGN,5425,1.2704918032786885
20723,STRAWBERRY CHARLOTTE BAG,5418,1.2688524590163934
22697,GREEN REGENCY TEACUP AND SAUCER,5410,1.2669789227166277
16156S,WRAP PINK FAIRY CAKES ,5400,1.2646370023419204
21500,PINK POLKADOT WRAP ,5400,1.2646370023419204
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,5381,1.2601873536299766
22966,GINGERBREAD MAN COOKIE CUTTER,5354,1.253864168618267
72741,GRAND CHOCOLATECANDLE,5342,1.2510538641686182
84836,ZINC METAL HEART DECORATION,5338,1.2501170960187353
20712,JUMBO BAG WOODLAND ANIMALS,5284,1.2374707259953162
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,5243,1.2278688524590164
22740,POLKADOT PEN,5233,1.2255269320843092
23284,DOORMAT KEEP CALM AND COME IN,5201,1.2180327868852459
21231,SWEETHEART CERAMIC TRINKET BOX,5196,1.2168618266978923
22356,CHARLOTTE BAG PINK POLKADOT,5180,1.2131147540983607
20975,12 PENCILS SMALL TUBE RED RETROSPOT,5158,1.2079625292740046
22030,SWALLOWS GREETING CARD,5133,1.2021077283372366
21930,JUMBO STORAGE BAG SKULLS,5119,1.1988290398126464
23355,HOT WATER BOTTLE KEEP CALM,5109,1.1964871194379392
85175,CACTI T-LIGHT CANDLES,5105,1.1955503512880563
22621,TRADITIONAL KNITTING NANCY,5082,1.1901639344262296
23171,REGENCY TEA PLATE GREEN ,5048,1.1822014051522247
21914,BLUE HARMONICA IN BOX ,5037,1.1796252927400468
21980,PACK OF 12 RED RETROSPOT TISSUES ,5032,1.1784543325526933
22609,PENS ASSORTED SPACEBALL,5024,1.1765807962529273
23170,REGENCY TEA PLATE ROSES ,4997,1.1702576112412177
22467,GUMBALL COAT RACK,4990,1.1686182669789227
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,4979,1.1660421545667448
23167,SMALL CERAMIC TOP STORAGE JAR ,4897,1.1468384074941451
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,4880,1.1428571428571428
22726,ALARM CLOCK BAKELIKE GREEN,4856,1.1372365339578454
82580,BATHROOM METAL SIGN,4840,1.1334894613583137
22084,PAPER CHAIN KIT EMPIRE,4831,1.1313817330210774
22045,SPACEBOY GIFT WRAP,4827,1.1304449648711943
21871,SAVE THE PLANET MUG,4808,1.1259953161592506
22489,PACK OF 12 TRADITIONAL CRAYONS,4760,1.1147540983606556
22983,CARD BILLBOARD FONT,4738,1.1096018735362998
22188,BLACK HEART CARD HOLDER,4727,1.1070257611241219
84378,SET OF 3 HEART COOKIE CUTTERS,4721,1.1056206088992975
21810,CHRISTMAS HANGING STAR WITH BELL,4720,1.1053864168618266
21877,HOME SWEET HOME MUG,4716,1.1044496487119437
22633,HAND WARMER UNION JACK,4694,1.0992974238875879
21094,SET/6 RED SPOTTY PAPER PLATES,4681,1.0962529274004684
22112,CHOCOLATE HOT WATER BOTTLE,4678,1.0955503512880562
22294,HEART FILIGREE DOVE  SMALL,4666,1.0927400468384074
21704,BAG 250g SWIRLY MARBLES,4656,1.0903981264637002
23293,SET OF 12 FAIRY CAKE BAKING CASES,4641,1.0868852459016394
84949,SILVER HANGING T-LIGHT HOLDER,4605,1.0784543325526932
20719,WOODLAND CHARLOTTE BAG,4594,1.0758782201405153
22029,SPACEBOY BIRTHDAY CARD,4582,1.0730679156908665
23233,WRAP POPPIES  DESIGN,4575,1.0714285714285714
21889,WOODEN BOX OF DOMINOES,4542,1.0637002341920374
22608,PENS ASSORTED FUNKY JEWELED ,4537,1.0625292740046839
23343,JUMBO BAG VINTAGE CHRISTMAS ,4521,1.0587822014051522
22698,PINK REGENCY TEACUP AND SAUCER,4517,1.0578454332552694
21967,PACK OF 12 SKULL TISSUES,4514,1.0571428571428572
23204,CHARLOTTE BAG APPLES DESIGN,4488,1.0510538641686182
22585,PACK OF 6 BIRDY GIFT TAGS,4466,1.0459016393442624
22996,TRAVEL CARD WALLET VINTAGE TICKET,4466,1.0459016393442624
21506,"FANCY FONT BIRTHDAY CARD, ",4440,1.0398126463700235
22561,WOODEN SCHOOL COLOURING SET,4433,1.0381733021077284
62018,SOMBRERO ,4384,1.0266978922716627
22834,HAND WARMER BABUSHKA DESIGN,4362,1.0215456674473067
21918,SET 12 KIDS COLOUR  CHALK STICKS,4335,1.015222482435597
22418,10 COLOUR SPACEBOY PEN,4323,1.0124121779859485
23005,TRAVEL CARD WALLET I LOVE LONDON,4296,1.006088992974239
23144,ZINC T-LIGHT HOLDER STARS SMALL,4258,0.9971896955503513
23582,VINTAGE DOILY JUMBO BAG RED ,4228,0.9901639344262295
22053,EMPIRE DESIGN ROSETTE,4216,0.9873536299765808
22759,SET OF 3 NOTEBOOKS IN PARCEL,4202,0.9840749414519906
22722,SET OF 6 SPICE TINS PANTRY DESIGN,4195,0.9824355971896955
22595,CHRISTMAS GINGHAM HEART,4189,0.9810304449648712
22900, SET 2 TEA TOWELS I LOVE LONDON ,4188,0.9807962529274005
21811,CHRISTMAS HANGING HEART WITH BELL,4184,0.9798594847775176
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,4183,0.9796252927400468
23286,BLUE VINTAGE SPOT BEAKER,4172,0.9770491803278688
16237,SLEEPING CAT ERASERS,4170,0.9765807962529274
82582,AREA PATROLLED METAL SIGN,4161,0.9744730679156909
23321,SMALL WHITE HEART OF WICKER,4121,0.9651053864168618
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,4106,0.9615925058548009
21916,SET 12 RETRO WHITE CHALK STICKS,4092,0.9583138173302108
21669,BLUE STRIPE CERAMIC DRAWER KNOB,4090,0.9578454332552693
20992,JAZZ HEARTS PURSE NOTEBOOK,4069,0.9529274004683841
21136,PAINTED METAL PEARS ASSORTED,4030,0.9437939110070258
35970,ZINC FOLKART SLEIGH BELLS,4027,0.9430913348946136
16169E,WRAP 50'S  CHRISTMAS,4013,0.9398126463700234
22273,FELTCRAFT DOLL MOLLY,4012,0.9395784543325527
23308,SET OF 60 VINTAGE LEAF CAKE CASES ,4008,0.9386416861826697
22138,BAKING SET 9 PIECE RETROSPOT ,4001,0.9370023419203747
22710,WRAP I LOVE LONDON ,4000,0.936768149882904
23285,PINK VINTAGE SPOT BEAKER,3998,0.9362997658079625
22662,LUNCH BAG DOLLY GIRL DESIGN,3993,0.9351288056206088
22630,DOLLY GIRL LUNCH BOX,3979,0.9318501170960187
23288,GREEN VINTAGE SPOT BEAKER,3976,0.9311475409836065
23581,JUMBO BAG PAISLEY PARK,3972,0.9302107728337237
22970,LONDON BUS COFFEE MUG,3958,0.9269320843091335
23245,SET OF 3 REGENCY CAKE TINS,3954,0.9259953161592506
22959,WRAP CHRISTMAS VILLAGE,3951,0.9252927400468384
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,3938,0.922248243559719
22728,ALARM CLOCK BAKELIKE PINK,3895,0.9121779859484778
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3882,0.9091334894613583
22111,SCOTTIE DOG HOT WATER BOTTLE,3875,0.9074941451990632
22632,HAND WARMER RED POLKA DOT,3872,0.906791569086651
21086,SET/6 RED SPOTTY PAPER CUPS,3867,0.9056206088992974
21174,POTTERING IN THE SHED METAL SIGN,3862,0.9044496487119438
22417,PACK OF 60 SPACEBOY CAKE CASES,3861,0.9042154566744731
20711,JUMBO BAG TOYS ,3849,0.9014051522248243
23103,BELL HEART DECORATION,3840,0.8992974238875878
22083,PAPER CHAIN KIT RETROSPOT,3837,0.8985948477751756
22041,"RECORD FRAME 7"" SINGLE SIZE ",3770,0.882903981264637
22907,PACK OF 20 NAPKINS PANTRY DESIGN,3757,0.8798594847775175
22161,HEART DECORATION RUSTIC HANGING ,3754,0.8791569086651054
22652,TRAVEL SEWING KIT,3735,0.8747072599531616
85150,LADIES & GENTLEMEN METAL SIGN,3732,0.8740046838407494
79000,MOROCCAN TEA GLASS,3664,0.8580796252927401
22986,GINGHAM ROSE WRAP,3651,0.8550351288056206
22951,60 CAKE CASES DOLLY GIRL DESIGN,3625,0.8489461358313818
21668,RED STRIPE CERAMIC DRAWER KNOB,3585,0.8395784543325527
22087,PAPER BUNTING WHITE LACE,3577,0.8377049180327869
21314,SMALL GLASS HEART TRINKET POT,3576,0.8374707259953161
82581,TOILET METAL SIGN,3575,0.8372365339578455
22338,STAR DECORATION PAINTED ZINC ,3543,0.8297423887587823
48187,DOORMAT NEW ENGLAND,3538,0.8285714285714286
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3523,0.8250585480093677
21876,POTTERING MUG,3505,0.8208430913348946
23439,HAND WARMER RED LOVE HEART,3505,0.8208430913348946
22536,MAGIC DRAWING SLATE PURDEY,3477,0.8142857142857143
16161U,WRAP SUKI AND FRIENDS,3475,0.8138173302107728
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,3453,0.8086651053864169
22704,WRAP RED APPLES ,3450,0.8079625292740047
84029E,RED WOOLLY HOTTIE WHITE HEART.,3450,0.8079625292740047
23215,JINGLE BELL HEART ANTIQUE SILVER,3448,0.8074941451990633
22154,ANGEL DECORATION 3 BUTTONS ,3432,0.8037470725995316
21986,PACK OF 12 PINK POLKADOT TISSUES,3420,0.8009367681498829
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,3419,0.8007025761124121
48138,DOORMAT UNION FLAG,3417,0.8002341920374707
21670,BLUE SPOT CERAMIC DRAWER KNOB,3410,0.7985948477751756
23205,CHARLOTTE BAG VINTAGE ALPHABET ,3406,0.7976580796252928
23263,SET OF 3 WOODEN HEART DECORATIONS,3396,0.7953161592505855
15056N,EDWARDIAN PARASOL NATURAL,3387,0.7932084309133489
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,3351,0.7847775175644028
22992,REVOLVER WOODEN RULER ,3333,0.7805620608899297
48185,DOORMAT FAIRY CAKE,3330,0.7798594847775175
23503,PLAYING CARDS KEEP CALM & CARRY ON,3322,0.7779859484777517
20685,DOORMAT RED RETROSPOT,3321,0.777751756440281
22950,36 DOILIES VINTAGE CHRISTMAS,3319,0.7772833723653396
21121,SET/10 RED POLKADOT PARTY CANDLES,3302,0.7733021077283372
23182,TOILET SIGN OCCUPIED OR VACANT,3277,0.7674473067915691
22047,EMPIRE GIFT WRAP,3275,0.7669789227166276
23295,SET OF 12 MINI LOAF BAKING CASES,3258,0.7629976580796253
21671,RED SPOT CERAMIC DRAWER KNOB,3250,0.7611241217798594
20718,RED RETROSPOT SHOPPER BAG,3242,0.7592505854800937
21623,VINTAGE UNION JACK MEMOBOARD,3239,0.7585480093676815
16216,LETTER SHAPE PENCIL SHARPENER,3236,0.7578454332552693
84950,ASSORTED COLOUR T-LIGHT HOLDER,3217,0.7533957845433256
20984,12 PENCILS TALL TUBE POSY,3216,0.7531615925058548
21981,PACK OF 12 WOODLAND TISSUES ,3215,0.752927400468384
16218,CARTOON  PENCIL SHARPENERS,3200,0.7494145199063232
20676,RED RETROSPOT BOWL,3195,0.7482435597189696
22713,CARD I LOVE LONDON ,3177,0.7440281030444965
22816,CARD MOTORBIKE SANTA,3174,0.7433255269320843
22413,METAL SIGN TAKE IT OR LEAVE IT ,3174,0.7433255269320843
48194,DOORMAT HEARTS,3168,0.7419203747072599
22297,HEART IVORY TRELLIS SMALL,3160,0.7400468384074942
21172,PARTY METAL SIGN ,3159,0.7398126463700234
23378,PACK OF 12 50'S CHRISTMAS TISSUES,3137,0.7346604215456675
22144,CHRISTMAS CRAFT LITTLE FRIENDS,3136,0.7344262295081967
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,3113,0.7290398126463701
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,3108,0.7278688524590164
21210,SET OF 72 RETROSPOT PAPER  DOILIES,3102,0.726463700234192
22464,HANGING METAL HEART LANTERN,3094,0.7245901639344262
22139,RETROSPOT TEA SET CERAMIC 11 PC ,3091,0.723887587822014
21917,SET 12 KIDS  WHITE CHALK STICKS,3088,0.7231850117096019
84375,SET OF 20 KIDS COOKIE CUTTERS,3081,0.7215456674473067
22920,HERB MARKER BASIL,3072,0.7194379391100703
23318,BOX OF 6 MINI VINTAGE CRACKERS,3063,0.7173302107728338
16259,PIECE OF CAMO STATIONERY SET,3056,0.7156908665105386
21098,CHRISTMAS TOILET ROLL,3054,0.7152224824355972
22985,"WRAP, BILLBOARD FONTS DESIGN",3050,0.7142857142857143
22219,LOVEBIRD HANGING DECORATION WHITE ,3036,0.7110070257611241
22568,FELTCRAFT CUSHION OWL,3031,0.7098360655737705
21165,BEWARE OF THE CAT METAL SIGN ,3026,0.7086651053864169
21394,RED POLKADOT BEAKER ,3012,0.7053864168618267
84596F,SMALL MARSHMALLOWS PINK BOWL,3008,0.7044496487119438
23353,6 GIFT TAGS VINTAGE CHRISTMAS ,3001,0.7028103044496488
22979,PANTRY WASHING UP BRUSH,2995,0.7014051522248244
22381,TOY TIDY PINK POLKADOT,2994,0.7011709601873536
23319,BOX OF 6 MINI 50'S CRACKERS,2990,0.7002341920374707
23275,SET OF 3 HANGING OWLS OLLIE BEAK,2989,0.7
22555,PLASTERS IN TIN STRONGMAN,2985,0.6990632318501171
23188,VINTAGE  2 METER FOLDING RULER,2982,0.6983606557377049
23354,6 GIFT TAGS 50'S CHRISTMAS ,2954,0.6918032786885245
21908,CHOCOLATE THIS WAY METAL SIGN,2952,0.6913348946135831
23296,SET OF 6 TEA TIME BAKING CASES,2950,0.6908665105386417
23493,VINTAGE DOILY TRAVEL SEWING KIT,2940,0.6885245901639344
20996,JAZZ HEARTS ADDRESS BOOK,2934,0.6871194379391101
72232,FENG SHUI PILLAR CANDLE,2933,0.6868852459016394
21122,SET/10 PINK POLKADOT PARTY CANDLES,2931,0.6864168618266979
21169,YOU'RE CONFUSING ME METAL SIGN ,2926,0.6852459016393443
21385,IVORY HANGING DECORATION  HEART,2926,0.6852459016393443
51014A,"FEATHER PEN,HOT PINK",2913,0.6822014051522248
23172,REGENCY TEA PLATE PINK,2880,0.6744730679156908
22113,GREY HEART HOT WATER BOTTLE,2866,0.6711943793911007
22766,PHOTO FRAME CORNICE,2848,0.6669789227166276
82552,WASHROOM METAL SIGN,2841,0.6653395784543326
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,2838,0.6646370023419204
22570,FELTCRAFT CUSHION RABBIT,2830,0.6627634660421545
21519,GIN & TONIC DIET GREETING CARD ,2809,0.6578454332552693
22835,HOT WATER BOTTLE I AM SO POORLY,2807,0.6573770491803279
21523,DOORMAT FANCY FONT HOME SWEET HOME,2807,0.6573770491803279
22620,4 TRADITIONAL SPINNING TOPS,2783,0.6517564402810304
22333,RETROSPOT PARTY BAG + STICKER SET,2782,0.6515222482435598
23351,ROLL WRAP 50'S CHRISTMAS,2776,0.6501170960187354
84050,PINK HEART SHAPE EGG FRYING PAN,2766,0.6477751756440281
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2763,0.6470725995316159
22037,ROBOT BIRTHDAY CARD,2763,0.6470725995316159
85049A,TRADITIONAL CHRISTMAS RIBBONS,2753,0.6447306791569086
23322,LARGE WHITE HEART OF WICKER,2752,0.644496487119438
82551,LAUNDRY 15C METAL SIGN,2741,0.6419203747072599
84988,SET OF 72 PINK HEART PAPER DOILIES,2734,0.6402810304449649
23000,TRAVEL CARD WALLET TRANSPORT,2727,0.6386416861826698
22551,PLASTERS IN TIN SPACEBOY,2721,0.6372365339578454
22488,NATURAL SLATE RECTANGLE CHALKBOARD,2718,0.6365339578454332
21485,RETROSPOT HEART HOT WATER BOTTLE,2709,0.6344262295081967
21390,FILIGRIS HEART WITH BUTTERFLY,2698,0.6318501170960187
21313,GLASS HEART T-LIGHT HOLDER ,2684,0.6285714285714286
22818,CARD CHRISTMAS VILLAGE,2682,0.6281030444964871
22999,TRAVEL CARD WALLET RETRO PETALS,2682,0.6281030444964871
22534,MAGIC DRAWING SLATE SPACEBOY ,2676,0.6266978922716627
22991,GIRAFFE WOODEN RULER,2664,0.623887587822014
16219,HOUSE SHAPE PENCIL SHARPENER,2663,0.6236533957845434
21818,GLITTER CHRISTMAS HEART ,2659,0.6227166276346604
22142,CHRISTMAS CRAFT WHITE FAIRY ,2655,0.6217798594847775
47591D,PINK FAIRY CAKE CHILDRENS APRON,2652,0.6210772833723653
23546,WRAP PAISLEY PARK ,2650,0.6206088992974239
23313,VINTAGE CHRISTMAS BUNTING,2632,0.6163934426229508
35953,FOLKART STAR CHRISTMAS DECORATIONS,2628,0.615456674473068
21479,WHITE SKULL HOT WATER BOTTLE ,2605,0.6100702576112412
47556B,TEA TIME TEA TOWELS ,2600,0.6088992974238876
22564,ALPHABET STENCIL CRAFT,2593,0.6072599531615925
17084R,ASSORTED INCENSE PACK,2592,0.6070257611241218
21936,RED RETROSPOT PICNIC BAG,2590,0.6065573770491803
21135,VICTORIAN  METAL POSTCARD SPRING,2581,0.6044496487119438
23583,LUNCH BAG PAISLEY PARK  ,2580,0.6042154566744731
23349,ROLL WRAP VINTAGE CHRISTMAS,2553,0.5978922716627635
